Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2000",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,190983291,185877905,175520696,203953984,211975960,223363507,231875960,233318241,225620646,220320462,221598940,215871781,2540281373
Santo Domingo,153854787,151245077,147726850,161357958,169167565,192214033,180698662,188678414,179180455,172643672,177870653,174247629,2048885755
Total,344838078,337122982,323247546,365311942,381143525,415577540,412574622,421996655,404801101,392964134,399469593,390119410,4589167128
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2019",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,199842187,200158499,202581239,212884878,218668184,237355632,248670940,250206220,252117076,251208456,242405406,232609036,2748707753
Santo Domingo,168943676,165654879,169828776,174293573,183231049,193084908,220607734,194903518,199273313,202709392,199543743,190018088,2262092649
Total,368785863,365813378,372410015,387178451,401899233,430440540,469278674,445109738,451390389,453917848,441949149,422627124,5010800402
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2020",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,226464842,216643785,226984707,188982541,189945267,217757749,250000017,239853389,224841435,226345883,221391644,202756885,2631968143
Santo Domingo,184924729,179856980,198092414,175005920,183740139,198766586,218606563,217074209,315484570,330893297,316120661,303348255,2821914322
Total,411389571,396500765,425077121,363988461,373685406,416524335,468606580,456927598,540326004,557239180,537512305,506105139,5453882465
Comisi¢n Nacional de Energ¡a,,,,,,,,,,,,,
Direcci¢n de Planificaci¢n y Desarrollo,,,,,,,,,,,,,
"Cantidad de energ¡a el‚ctrica facturada por las distribuidoras, seg£n provincia y mes, 2021",,,,,,,,,,,,,
(cifras expresadas en kWh),,,,,,,,,,,,,
Provincia,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Distrito Nacional,195616060,191084492,197229117,200973270,216261031,223265228,225932450,232417163,240295732,243493940,238406750,225349481,2630324714
Santo Domingo,186794036,190122860,191043267,200270405,199626651,205729943,223057273,213744399,231030514,233347387,247227002,199038721,2521032456
Total,382410096,381207352,388272384,401243674,415887682,428995171,448989723,446161562,471326245,476841326,485633752,424388201,5151357170
